asset_id,filename,video_id,timestamp_s,dimensions,composition,shot_scale,observed_purpose,source_url,retrieved_at,rights_status,sha256
wm_0001,ranga-watermelon-00m01s-full-avatar.jpg,6jZ7ib2Edes,1.0,1920x1080,AVATAR_FULL,tight_head_shoulders,"direct personal cold-open/home base",https://www.youtube.com/watch?v=6jZ7ib2Edes,2026-08-08,third_party_reference_only,74a7a78eb28469c4f2d764cff6979d719a1d8f1641dd2797a97c2e8600d873a7
wm_0004,ranga-watermelon-00m04s-broll-establishing.jpg,6jZ7ib2Edes,4.0,1920x1080,REFERENCE_BROLL,environmental_wide,"literal retail/location context",https://www.youtube.com/watch?v=6jZ7ib2Edes,2026-08-08,third_party_reference_only,3b37c3cb3ea03b184c2edd94d1e755597078c84d7c5d2c4e05a7e6e4f3b79ded
wm_0010,ranga-watermelon-00m10s-50-50.jpg,6jZ7ib2Edes,10.0,1920x1080,AVATAR_SPLIT_REFERENCE,tight_plus_detail,"speaker left and visual evidence right",https://www.youtube.com/watch?v=6jZ7ib2Edes,2026-08-08,third_party_reference_only,3374440dbd32cbc158bb0213c9741857b71469403195cfa01dab80215bb9f5b9
wm_0013,ranga-watermelon-00m13s-broll-detail.jpg,6jZ7ib2Edes,13.0,1920x1080,REFERENCE_BROLL,close_object,"fast return to topical physical evidence",https://www.youtube.com/watch?v=6jZ7ib2Edes,2026-08-08,third_party_reference_only,6ec290a1b4c01643b51e1cccde94551d865a3041b4b1b4ad722939a4871852ed
wm_0344,ranga-watermelon-05m44s-broll-context.jpg,6jZ7ib2Edes,344.0,854x480,REFERENCE_BROLL,environmental_context,"subject in real growing environment",https://www.youtube.com/watch?v=6jZ7ib2Edes,2026-08-08,third_party_reference_only,7647d6ddff1217f62444f47c793f65bf1c979ee7f62d00e444a08f7745d37734
wm_0424,ranga-watermelon-07m04s-broll-detail.jpg,6jZ7ib2Edes,424.0,854x480,REFERENCE_BROLL,tactile_close,"hands and surface evidence replace graphics",https://www.youtube.com/watch?v=6jZ7ib2Edes,2026-08-08,third_party_reference_only,50b91cf585e3c410d6ed0ac544effdd1cd15052154e833d68ac3deb18a83fdf5
cv_0001,ranga-mosquito-00m01s-full-avatar.jpg,cVotLLx5bNs,1.0,854x480,AVATAR_FULL,tight_head_shoulders,"same centered presenter grammar",https://www.youtube.com/watch?v=cVotLLx5bNs,2026-08-08,third_party_reference_only,2fd1ef50821ef46d01cca3f1450cdf304095c4b72e93d65ebc15ee35f818615f
cv_0005,ranga-mosquito-00m05s-broll-action.jpg,cVotLLx5bNs,5.0,854x480,REFERENCE_BROLL,observational_action,"immediate real-world topical action",https://www.youtube.com/watch?v=cVotLLx5bNs,2026-08-08,third_party_reference_only,9ee5940c7b68638a46c8bdb838a7382353f2d69b7c3338ca45077bdb13da3639
cv_0016,ranga-mosquito-00m16s-50-50.jpg,cVotLLx5bNs,16.0,854x480,AVATAR_SPLIT_REFERENCE,tight_plus_evidence,"clean left speaker right evidence split",https://www.youtube.com/watch?v=cVotLLx5bNs,2026-08-08,third_party_reference_only,c7fe1bf7b8ab330dfff757ca989b4dfade83e8af31ac1c04aaa224b82076d3cb
cv_0024,ranga-mosquito-00m24s-broll-macro.jpg,cVotLLx5bNs,24.0,854x480,REFERENCE_BROLL,macro_detail,"physical close evidence",https://www.youtube.com/watch?v=cVotLLx5bNs,2026-08-08,third_party_reference_only,3e32837660d93a74c695c5e3dfe9ff243d89c18cbab507a1871838448e44ec73
wm_sheet,ranga-watermelon-opening-rhythm.jpg,6jZ7ib2Edes,0.0,1280x720,REFERENCE_SHEET,four_panel,"labeled cadence teaching sheet for 1/4/10/13 seconds",https://www.youtube.com/watch?v=6jZ7ib2Edes,2026-08-08,third_party_reference_only,0f908c9a0f927eb76d97f33ef47256656fff968f88d779e2c94ee78a554bd611
cv_sheet,ranga-mosquito-opening-rhythm.jpg,cVotLLx5bNs,0.0,1280x720,REFERENCE_SHEET,four_panel,"labeled cadence teaching sheet for 1/5/16/24 seconds",https://www.youtube.com/watch?v=cVotLLx5bNs,2026-08-08,third_party_reference_only,c14c5344517f25a2a5e7ee91bde1d39602f3b01df6e67a3fa91593873bba6da1
